                                                    car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                                    
 AC-1200013-63AC0FB49FF4469F86F2E962F13AFAF5;878.991;AC;Acrelândia;0.879;IRU;AT;Aguardando analise
 AC-1200013-5F9A439442704EBD820E4BF552F391C1;354.812;AC;Acrelândia;0.3548;IRU;AT;Em análise
 AC-1200013-EFCF2DA6E3144A59B6451CEFD4E52AC8;396.774;AC;Acrelândia;0.3968;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 AC-1200013-7E05CA6EA01C439DB509954EBD4FA9E4;501.994;AC;Acrelândia;0.502;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-6A3DA89321F3402E889FD386C5342AE4;727.035;AC;Acrelândia;0.727;IRU;AT;Aguardando analise
 AC-1200013-26B5D6FC029149A88454E1B70520F605;226.374;AC;Acrelândia;0.2264;IRU;AT;Aguardando analise
 AC-1200013-BEC79C56C20342CA932792015C01810D;749.788;AC;Acrelândia;0.7498;IRU;CA;CANCELADO_POR_DECISAO_ADMINISTRATIVA
 AC-1200013-DD25F3CA778A40A59C4A55D27E446830;64.470;AC;Acrelândia;0.0645;IRU;AT;Aguardando analise
 AC-1200013-706E3C8EFEA84BC9A836B91EE227682B;223.488;AC;Acrelândia;0.2235;IRU;AT;Em análise
 AC-1200013-09907AB946E0432E89F9B4F5923DD792;123.242;AC;Acrelândia;0.1232;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-DAB8F01670C447F091A1876EC30BF8A1;97.863;AC;Acrelândia;0.0979;IRU;AT;Aguardando analise
 AC-1200013-9766FA34E64743489DC4EB1CB879B3A3;348.229;AC;Acrelândia;0.3482;IRU;AT;Analisado com pendências, aguardando retificação
 AC-1200013-F8593E285B2B438190F305BB98C5DA4D;199.919;AC;Acrelândia;0.1999;IRU;AT;Aguardando analise
 AC-1200013-3974CAF2873D4B4DAFEC868D6FC80A51;554.431;AC;Acrelândia;0.5544;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-B69AA0255E9547C6808A03A3CF138003;671.092;AC;Acrelândia;0.6711;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-DA8C0D92F9804850BE713FAC34BEE0F6;3.995.342;AC;Acrelândia;39.953;IRU;AT;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
