,id,distancia_quilombola_metros,distancia_ind_metros,distancia_urb_metros,distancia_outros_metros,distancia_militar_metros,distancia_semdes_metros,distancia_pi_metros,distancia_us_metros,distancia_min_metros,distancia_p_metros,distancia_m_metros,distancia_g_metros
92,333,243681.01405554262,110238.15984398231,413145.11911589466,1292.394097937844,60.25605962660019,81213.98631095684,168430.39002172826,64625.43169910365,85538.1754359755,84798.33076980305,37550.98701576792,29370.8697928534
93,335,206003.50073478775,120850.13211440189,419605.31681006344,1292.394097937844,60.25605962660019,81213.98631095684,135753.01175712355,49155.667127133944,92419.57403822457,44254.022041823686,41578.58033771449,49155.667127133944
94,337,168243.3624280766,67151.1365659902,430693.0179991359,1292.394097937844,60.25605962660019,34240.4087746182,109787.71300957246,30398.814353532423,50520.0920551002,1825.4806004067334,2396.8287084296603,10903.517865141004
95,339,138962.5837604495,23315.80944559801,178681.9880533726,1292.394097937844,8695.758554008988,892.8755131951027,122547.3115807803,59495.33243486296,1055.852211586308,1573.4063662312717,4565.9828038595715,1114.1702448660385
96,349,81282.69645989606,20008.653029712605,173502.89588422026,3139.73261284232,8695.758554008988,39916.53310842824,534.0013967188452,28345.05999956232,53790.588399492306,55602.2454030344,61702.89774855353,31875.331004268133
97,351,75825.99689091684,25442.170752046968,176938.55311031442,3139.73261284232,8695.758554008988,39916.53310842824,446.13115872083813,30202.147955951797,54794.508384099885,56481.4378793493,61742.21104930453,33289.062428160745
98,356,149975.1191360413,46318.84439629885,116529.79217495184,10652.372503610111,8695.758554008988,1.02284236485112,126604.12302083106,29118.443962842353,669.6664221708983,639.1550930352408,5705.340901918047,979.9654527891107
99,357,154271.0315313742,10223.242533061182,104979.79478859098,10652.372503610111,8695.758554008988,340.9190551737959,155702.15072714048,64174.78542360735,1280.2052110797913,4374.811996868056,5484.634733935485,801.8184919764722
100,361,99335.65906199891,78668.98679745178,141872.88685917264,10652.372503610111,8695.758554008988,3338.243133088028,159444.19345057162,24938.456112752716,119.90537403056031,2736.468966631047,1871.957109944197,7164.805367569207
101,363,157946.7047035186,7969.70191245565,101361.35812213818,10652.372503610111,8695.758554008988,340.9190551737959,152710.90294836843,66846.78831203005,912.3453999421032,976.4679490015825,4961.795960874718,1126.0733440756603
102,364,154020.5743353461,12721.307955238313,105112.39951728022,10652.372503610111,8695.758554008988,340.9190551737959,153201.6040636378,61731.38419469693,755.5858016465146,2482.86068775479,4737.758589990467,295.9983599840545
103,366,103418.3440984187,78390.1780285396,145071.0930700024,10652.372503610111,8695.758554008988,3338.243133088028,154479.01016905272,19971.32042762031,194.79454935238877,2154.8651580261567,1273.012236549685,2371.8393346689877
104,367,139616.41774064334,19994.88789424056,120128.49438327218,10652.372503610111,8695.758554008988,3891.266296553592,166294.80613888704,62155.63025585021,855.0713309959782,1629.1584809767448,10792.753191343814,5786.157924372629
105,368,97536.4211613707,87326.62762448564,137593.45446939368,10652.372503610111,8695.758554008988,3338.243133088028,157050.2425111775,20808.371981099674,1779.3679608038763,1356.7887913336135,1749.9571836366279,8871.563686240743
106,371,95147.98896866904,69792.2135626648,294338.2130551555,1292.394097937844,8695.758554008988,74254.05994094088,74404.50792462922,66985.0104260639,21972.984263712053,9036.042284679761,13197.577599655548,29704.688064507092
107,372,154173.18934460872,13259.43803897999,104949.86137363032,10652.372503610111,8695.758554008988,340.9190551737959,152512.0825180985,61253.69938224607,886.2965255202372,1785.094277331344,4597.840821210292,441.06838673506667
108,373,140286.67714839705,29302.369728518323,119469.50927160648,10652.372503610111,8695.758554008988,3891.266296553592,149998.97253758807,45765.29195774562,17.6672657625112,3406.039409385903,1147.8812940710345,8259.988734653623
