"","X","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g"
"1498",1498,1100080,"Costa Marques","RO",-64.41155275,-12.4372783,"RO-PB-08: Porto Paran?",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1499",1499,1100080,"Costa Marques","RO",-64.37643072,-12.4491539,"RO-PB-09: Machupo I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1500",1500,1101492,"São Francisco do Guaporé","RO",-63.23818228,-12.53594784,"RO-PN-01: Pau de ?leo",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1501",1501,1101492,"São Francisco do Guaporé","RO",-62.93558405,-12.65708274,"RO-PN-07: Ba?a Rica",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1502",1502,1507805,"Senador José Porfírio","PA",-51.9057,-3.60696,"Acampamento Verena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1503",1503,1507805,"Senador José Porfírio","PA",-51.96568,-3.58501,"Albino",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"1504",1504,1507805,"Senador José Porfírio","PA",-51.89091,-3.65411,"Bela Vista",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1505",1505,1507805,"Senador José Porfírio","PA",-51.8965,-3.54196,"Bertolino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1506",1506,1507805,"Senador José Porfírio","PA",-51.97602,-3.50197,"Boca do Tuna",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1507",1507,1507805,"Senador José Porfírio","PA",-51.96199,-3.54883,"Bom Jesus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
